Team_Number_Id,TeamPoints,FieldGoals,X3PointShots,FreeThrows,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
5,103,0.477,0.25,0.682,9,46,21,5,3,8,18
5,110,0.5,0.438,0.758,11,51,18,8,5,15,14
5,93,0.384,0.308,0.657,15,48,15,4,10,10,18
5,80,0.307,0.133,0.64,14,58,16,7,5,7,16
5,105,0.449,0.545,0.684,10,47,27,8,3,10,20
5,78,0.338,0.211,0.667,20,56,19,3,8,14,16
5,90,0.404,0.125,0.667,12,42,27,6,5,11,22
5,76,0.329,0.286,0.649,10,41,9,7,13,9,19
5,86,0.41,0.333,0.857,8,43,23,7,4,12,17
5,104,0.473,0,0.64,10,57,32,10,11,10,18
5,92,0.468,0.267,0.737,6,42,21,6,3,11,18
5,94,0.434,0.24,0.815,12,50,15,5,15,14,19
5,81,0.345,0.261,0.85,5,43,24,9,5,12,20
5,102,0.468,0.571,0.786,4,35,24,5,4,10,23
5,78,0.358,0.375,0.786,10,38,21,1,9,11,21
5,103,0.43,0.292,0.8,11,41,28,9,10,9,18
5,81,0.367,0.316,0.692,13,47,20,10,2,14,20
5,98,0.464,0.286,0.762,12,45,16,8,3,9,18
5,98,0.451,0.476,0.824,8,48,19,8,7,16,18
5,98,0.5,0.444,0.714,7,47,22,5,4,16,17
5,104,0.494,0.385,0.677,5,42,30,10,5,11,17
5,115,0.494,0.421,0.821,12,49,24,5,2,11,20
5,103,0.471,0.25,0.9,11,56,26,3,5,15,15
5,108,0.519,0.353,0.87,4,39,32,6,5,9,20
5,69,0.325,0.182,0.75,8,37,13,4,8,15,11
5,106,0.452,0.333,0.615,10,44,28,5,12,11,24
5,101,0.371,0.368,0.848,17,55,15,4,7,12,17
5,66,0.295,0.263,0.833,6,36,9,5,4,7,11
5,92,0.405,0.357,0.793,9,43,20,6,4,13,23
5,91,0.396,0.333,0.813,7,36,16,10,3,13,18
5,109,0.506,0.333,0.813,13,42,21,8,3,7,16
5,86,0.346,0.4,0.786,11,51,11,2,8,10,25
5,88,0.396,0.25,0.65,10,51,23,4,7,11,17
5,107,0.346,0.32,0.771,10,61,25,11,11,11,17
5,115,0.525,0.462,0.864,7,42,28,4,6,8,16
5,104,0.471,0.269,0.895,10,40,20,3,6,10,17
5,102,0.422,0.409,0.708,13,55,21,10,7,9,17
