Team_Number_Id,TeamPoints,FieldGoals.,X3PointShots.,FreeThrows.,TotalRebounds,Assists,Steals,Blocks
7,103,0.435,0.243,0.824,34,19,15,7
7,130,0.539,0.444,0.815,40,32,8,3
7,97,0.409,0.323,0.688,52,26,6,4
7,109,0.458,0.375,0.783,37,29,4,4
7,102,0.407,0.452,0.818,29,25,9,8
7,90,0.41,0.286,0.857,44,19,6,4
7,109,0.455,0.378,0.833,44,20,9,3
7,110,0.484,0.361,0.6,36,30,11,1
7,100,0.417,0.448,0.81,46,21,6,4
7,109,0.444,0.435,0.76,43,25,5,2
7,118,0.478,0.556,0.739,51,24,8,3
7,114,0.481,0.345,0.857,52,21,8,3
7,82,0.351,0.161,0.611,53,27,5,2
7,110,0.449,0.4,0.889,40,22,11,1
7,115,0.527,0.273,0.722,36,25,7,5
7,106,0.446,0.545,0.857,45,25,5,3
7,105,0.478,0.286,0.818,40,25,4,2
7,112,0.494,0.531,0.786,35,22,5,7
7,98,0.396,0.293,0.737,52,22,10,6
7,103,0.45,0.35,0.68,43,25,7,9
7,93,0.393,0.295,0.737,40,17,10,1
7,92,0.442,0.393,0.714,46,22,5,5
7,87,0.405,0.351,0.909,38,15,5,3
7,115,0.457,0.386,0.7,43,27,8,5
7,100,0.438,0.333,0.706,43,24,3,1
7,106,0.435,0.333,0.722,46,26,7,5
7,97,0.426,0.275,0.462,43,24,6,6
7,97,0.385,0.242,0.682,40,20,8,1
8,134,0.622,0.444,0.909,48,35,8,9
8,99,0.442,0.4,0.563,37,24,9,1
8,98,0.461,0.382,0.714,46,20,2,6
8,114,0.495,0.421,0.75,39,30,8,3
8,97,0.4,0.243,0.6,40,27,13,6
8,87,0.386,0.318,0.813,47,15,8,3
8,80,0.349,0.25,0.882,41,18,9,4
8,105,0.465,0.308,0.654,47,23,10,3
8,104,0.433,0.2,0.833,54,23,13,7
8,100,0.449,0.389,0.762,42,23,7,5
8,104,0.41,0.333,0.788,49,23,7,8
8,130,0.6,0.5,0.833,32,36,3,2
8,91,0.42,0.364,0.733,53,23,6,8
8,110,0.452,0.303,0.762,47,31,4,3
8,104,0.465,0.435,1,38,22,11,6
8,127,0.515,0.395,0.706,43,32,3,10
8,115,0.429,0.414,0.862,48,28,7,0
8,121,0.568,0.529,0.846,41,30,10,2
8,104,0.477,0.107,0.81,39,25,7,2
8,123,0.511,0.448,0.909,37,20,10,5
8,117,0.495,0.313,0.833,35,29,10,3
8,134,0.553,0.6,0.8,34,37,9,6
8,122,0.495,0.375,0.737,52,33,5,3
8,114,0.484,0.345,0.667,36,33,13,6
8,120,0.494,0.323,0.8,41,27,11,7
8,108,0.548,0.273,0.846,37,18,17,3
8,126,0.547,0.543,0.867,35,35,4,3
8,107,0.413,0.306,0.769,49,23,5,8
8,108,0.488,0.37,0.778,51,22,7,2
8,125,0.506,0.484,0.867,36,30,10,6
8,130,0.562,0.405,0.714,51,38,2,4
8,103,0.442,0.325,0.737,44,26,12,4
8,120,0.506,0.429,0.786,45,26,7,8
8,94,0.368,0.273,0.724,49,17,10,5
8,141,0.46,0.474,0.838,46,23,10,5
8,135,0.614,0.571,0.813,45,34,9,6
8,108,0.435,0.5,0.944,38,25,5,10
8,104,0.429,0.344,0.618,37,27,10,7
8,110,0.472,0.433,0.929,40,26,6,6
8,126,0.521,0.333,0.857,58,27,4,5
8,128,0.444,0.306,0.804,57,27,2,8
8,107,0.461,0.313,0.75,49,31,10,8
8,100,0.393,0.306,0.864,47,21,3,7
8,134,0.624,0.414,0.696,33,36,4,6
8,88,0.373,0.231,0.769,52,22,7,5
8,106,0.456,0.406,0.611,47,19,4,4
9,104,0.477,0.375,0.813,35,21,4,2
9,78,0.385,0.318,0.579,34,20,9,4
9,108,0.507,0.48,0.741,35,21,8,4
9,109,0.441,0.296,0.864,39,22,5,4
9,114,0.516,0.476,0.667,54,24,10,4
9,105,0.446,0.414,0.786,45,28,8,7
9,107,0.488,0.517,0.727,38,27,10,5
9,91,0.42,0.357,0.467,42,22,14,7
9,112,0.5,0.333,0.846,35,25,8,3
9,100,0.422,0.31,0.882,43,21,3,4
9,95,0.392,0.226,0.667,57,23,10,7
9,108,0.464,0.364,0.75,43,24,4,3
9,104,0.421,0.389,0.769,43,31,5,6
9,125,0.527,0.391,0.643,47,30,12,5
9,104,0.461,0.28,0.73,41,20,8,4
9,111,0.524,0.346,0.824,49,23,7,5
9,111,0.5,0.5,0.667,51,36,7,4
9,115,0.478,0.375,0.72,46,20,10,3
9,95,0.409,0.323,0.765,40,22,5,5
9,115,0.458,0.394,0.788,40,30,6,4
9,103,0.368,0.257,0.75,54,18,5,3
9,104,0.422,0.394,0.84,47,26,3,5
9,98,0.435,0.303,0.667,45,16,4,4
9,98,0.494,0.222,0.714,41,23,4,2
9,94,0.383,0.318,0.75,42,20,11,3
9,110,0.442,0.31,0.773,57,26,9,0
9,106,0.435,0.414,0.583,43,22,10,1
9,96,0.416,0.292,0.714,46,18,8,2
9,90,0.391,0.353,0.667,40,17,9,6
9,119,0.489,0.5,0.783,51,27,2,7
9,99,0.469,0.333,0.778,50,22,8,9
9,79,0.375,0.2,0.737,32,14,14,4
9,113,0.478,0.519,0.647,41,30,8,4
9,87,0.388,0.4,0.75,43,17,6,2
9,106,0.468,0.483,0.818,44,17,6,5
9,115,0.443,0.417,0.875,50,22,12,14
9,96,0.421,0.158,0.526,66,22,9,5
9,117,0.494,0.381,0.833,49,33,6,7
9,112,0.44,0.394,0.733,50,21,4,2
9,103,0.488,0.286,0.75,44,26,9,3
9,115,0.518,0.417,0.773,43,24,8,5
9,108,0.452,0.368,0.781,53,17,9,3
9,108,0.443,0.444,0.609,42,30,4,5
9,113,0.5,0.4,0.529,49,24,6,4
9,117,0.409,0.489,0.783,38,30,10,0
9,98,0.449,0.3,0.76,33,22,7,2
9,119,0.528,0.429,1,47,27,12,4
10,125,0.527,0.406,0.842,46,36,8,7
10,124,0.552,0.433,0.75,45,35,6,6
10,121,0.415,0.333,0.811,54,31,13,10
10,124,0.565,0.433,0.714,43,33,7,10
10,106,0.481,0.348,0.846,33,26,9,6
10,108,0.557,0.333,0.833,43,28,7,3
10,127,0.58,0.375,0.857,30,28,4,3
10,118,0.482,0.375,0.8,48,33,8,6
10,119,0.5,0.394,0.88,49,24,5,3
10,108,0.488,0.472,0.733,33,31,8,10
10,123,0.554,0.433,0.9,36,40,6,3
10,126,0.539,0.568,0.6,47,37,9,8
10,109,0.452,0.37,0.885,43,19,9,9
10,99,0.459,0.2,0.762,37,27,10,7
10,119,0.55,0.515,0.875,51,25,8,4
10,108,0.5,0.258,0.609,42,28,9,10
10,105,0.487,0.286,0.742,45,27,7,8
10,121,0.511,0.483,0.85,51,37,6,7
10,122,0.565,0.444,0.933,44,35,5,6
10,129,0.584,0.423,0.667,49,36,8,16
10,117,0.478,0.351,0.947,41,24,8,7
10,134,0.61,0.56,0.765,32,31,8,8
10,112,0.472,0.447,0.846,54,36,8,6
