Team,Year,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
Milwaukee Bucks,2018,82,44,38,0.537,3966,8731,3257,6807,47.8,718,2024,35.5,1499,1915,78.3,688,2579,3267,1905,1135,722,443,366,1752,1633,-25,
Minnesota Timberwolves,2018,82,47,35,0.573,3961,8980,3365,7063,47.6,658,1845,35.7,1592,1980,80.4,848,2593,3441,1861,1021,689,345,382,1495,1710,183,
New Orleans Pelicans,2018,82,48,34,0.585,3991,9161,3500,7241,48.3,837,2312,36.2,1324,1716,77.2,712,2923,3635,2195,1223,657,485,344,1570,1669,107,
New York Knicks,2018,82,29,53,0.354,3966,8566,3334,7193,46.4,673,1914,35.2,1225,1557,78.7,859,2752,3611,1912,1208,552,421,389,1682,1509,-292,
Oklahoma City Thunder,2018,82,48,34,0.585,3966,8844,3271,7221,45.3,881,2491,35.4,1421,1985,71.6,1024,2671,3695,1750,1147,743,412,377,1653,1750,280,
Orlando Magic,2018,82,25,57,0.305,3946,8479,3182,7042,45.2,844,2405,35.1,1271,1678,75.7,722,2692,3414,1921,1192,622,400,402,1579,1556,-395,
Philadelphia 76ers,2018,82,52,30,0.634,3956,9004,3349,7098,47.2,901,2445,36.9,1405,1868,75.2,893,2996,3889,2221,1353,682,420,417,1811,1670,369,
Phoenix Suns,2018,82,21,61,0.256,3941,8522,3153,7141,44.2,763,2286,33.4,1453,1962,74.1,842,2776,3618,1743,1289,569,370,488,1807,1715,-768,
Portland Trail Blazers,2018,82,49,33,0.598,3951,8661,3222,7132,45.2,845,2308,36.6,1372,1715,80,835,2893,3728,1599,1109,573,423,418,1599,1564,213,
Sacramento Kings,2018,82,27,55,0.329,3951,8104,3179,7063,45,738,1967,37.5,1008,1371,73.5,776,2578,3354,1768,1125,643,340,389,1639,1422,-573,
San Antonio Spurs,2018,82,47,35,0.573,3946,8424,3202,6999,45.7,696,1977,35.2,1324,1715,77.2,849,2777,3626,1868,1078,628,460,318,1408,1619,237,
Toronto Raptors,2018,82,59,23,0.72,3966,9156,3383,7169,47.2,968,2705,35.8,1422,1790,79.4,800,2807,3607,1995,1095,626,500,401,1783,1633,638,
Utah Jazz,2018,82,48,34,0.585,3951,8540,3139,6797,46.2,887,2425,36.6,1375,1766,77.9,740,2807,3547,1839,1205,708,420,380,1608,1683,353,
Washington Wizards,2018,82,43,39,0.524,3971,8742,3275,7018,46.7,814,2173,37.5,1378,1786,77.2,823,2713,3536,2065,1196,645,353,383,1746,1639,48,
